# Time,VehicleID,EGO,X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Ax,Ay,Az,Wx,Wy,Wz,Throttle,Steer,Brake
7.698302745819091797e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-1.188452821224927902e-03,9.037767791748046875e+01,1.354799169348552823e-04,7.798939805070403963e-08,-4.695283678302075714e-06,-9.165258961729705334e-05,-9.175048489851178601e-07,4.578549705911427736e-04,3.848291188478469849e-02,2.463654382154345512e-03,4.173034903942607343e-05,-3.269633737090771319e-07,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.698302745819091797e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-1.188452821224927902e-03,9.037767791748046875e+01,1.354799169348552823e-04,7.798939805070403963e-08,-4.695283678302075714e-06,-9.165258961729705334e-05,-9.175048489851178601e-07,4.578549705911427736e-04,3.848291188478469849e-02,2.463654382154345512e-03,4.173034903942607343e-05,-3.269633737090771319e-07,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.698302745819091797e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-1.038188696838915348e-03,9.037767791748046875e+01,1.352137915091589093e-04,2.871265669668332521e-09,-7.060436473693698645e-06,4.510879516601562500e-03,-2.184803179261507466e-06,-6.879022839711979032e-05,1.338641643524169922e-01,3.779043210670351982e-03,5.968557161395438015e-06,-9.482410234795679571e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.732684850692749023e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-1.038188696838915348e-03,9.037767791748046875e+01,1.352137915091589093e-04,2.871265669668332521e-09,-7.060436473693698645e-06,4.510879516601562500e-03,-2.184803179261507466e-06,-6.879022839711979032e-05,1.338641643524169922e-01,3.779043210670351982e-03,5.968557161395438015e-06,-9.482410234795679571e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.732684850692749023e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-1.038188696838915348e-03,9.037767791748046875e+01,1.352137915091589093e-04,2.871265669668332521e-09,-7.060436473693698645e-06,4.510879516601562500e-03,-2.184803179261507466e-06,-6.879022839711979032e-05,1.338641643524169922e-01,3.779043210670351982e-03,5.968557161395438015e-06,-9.482410234795679571e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.732684850692749023e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-8.879245724529027939e-04,9.037767791748046875e+01,1.355932763544842601e-04,8.778449966939660953e-08,-8.482217708660755306e-06,2.782989060506224632e-03,2.531069867472979240e-06,-4.238005567458458245e-05,-5.150447413325309753e-02,4.544404800981283188e-03,4.070366776431910694e-05,-5.050268114814571163e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.766233205795288086e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-8.879245724529027939e-04,9.037767791748046875e+01,1.355932763544842601e-04,8.778449966939660953e-08,-8.482217708660755306e-06,2.782989060506224632e-03,2.531069867472979240e-06,-4.238005567458458245e-05,-5.150447413325309753e-02,4.544404800981283188e-03,4.070366776431910694e-05,-5.050268114814571163e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.766233205795288086e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-8.879245724529027939e-04,9.037767791748046875e+01,1.355932763544842601e-04,8.778449966939660953e-08,-8.482217708660755306e-06,2.782989060506224632e-03,2.531069867472979240e-06,-4.238005567458458245e-05,-5.150447413325309753e-02,4.544404800981283188e-03,4.070366776431910694e-05,-5.050268114814571163e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.836164951324462891e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-5.805660621263086796e-04,9.037767791748046875e+01,1.359947054879739881e-04,8.821383801205229247e-08,-9.202813998854253441e-06,-4.543492570519447327e-03,2.650210895183136017e-08,-5.211652933212462813e-06,-1.729758828878402710e-01,4.935489501804113388e-03,4.009973054053261876e-05,-2.341753235768351260e-09,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.836164951324462891e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-5.805660621263086796e-04,9.037767791748046875e+01,1.359947054879739881e-04,8.821383801205229247e-08,-9.202813998854253441e-06,-4.543492570519447327e-03,2.650210895183136017e-08,-5.211652933212462813e-06,-1.729758828878402710e-01,4.935489501804113388e-03,4.009973054053261876e-05,-2.341753235768351260e-09,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.836164951324462891e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-5.805660621263086796e-04,9.037767791748046875e+01,1.359947054879739881e-04,8.821383801205229247e-08,-9.202813998854253441e-06,-4.543492570519447327e-03,2.650210895183136017e-08,-5.211652933212462813e-06,-1.729758828878402710e-01,4.935489501804113388e-03,4.009973054053261876e-05,-2.341753235768351260e-09,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.836164951324462891e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898727035522460938e+01,-3.898727035522460938e+01,-5.805660621263086796e-04,9.037767791748046875e+01,1.359947054879739881e-04,8.821383801205229247e-08,-9.202813998854253441e-06,-4.543492570519447327e-03,2.650210895183136017e-08,-5.211652933212462813e-06,-1.729758828878402710e-01,4.935489501804113388e-03,4.009973054053261876e-05,-2.341753235768351260e-09,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.836164951324462891e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726654052734375e+01,-3.898726654052734375e+01,-3.961509501095861197e-04,9.037767791748046875e+01,1.364038034807890654e-04,1.367512592054254128e-08,-8.666841495141852647e-06,1.302224351093173027e-03,-1.205179501084785443e-06,8.665873792779166251e-06,9.451650828123092651e-02,4.648315720260143280e-03,8.296505598082148936e-07,8.358126635243934288e-09,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.898013591766357422e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726654052734375e+01,-3.898726654052734375e+01,-3.961509501095861197e-04,9.037767791748046875e+01,1.364038034807890654e-04,1.367512592054254128e-08,-8.666841495141852647e-06,1.302224351093173027e-03,-1.205179501084785443e-06,8.665873792779166251e-06,9.451650828123092651e-02,4.648315720260143280e-03,8.296505598082148936e-07,8.358126635243934288e-09,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.932899713516235352e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726654052734375e+01,-3.898726654052734375e+01,-1.229433983098715544e-04,9.037767791748046875e+01,1.362647744826972485e-04,5.217035692339777597e-08,-7.604978691233554855e-06,-1.853503636084496975e-03,1.103453996620373800e-06,3.043797187274321914e-05,-9.045797586441040039e-02,4.080924205482006073e-03,3.352914427523501217e-05,1.452169939852865355e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.932899713516235352e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726654052734375e+01,-3.898726654052734375e+01,-1.229433983098715544e-04,9.037767791748046875e+01,1.362647744826972485e-04,5.217035692339777597e-08,-7.604978691233554855e-06,-1.853503636084496975e-03,1.103453996620373800e-06,3.043797187274321914e-05,-9.045797586441040039e-02,4.080924205482006073e-03,3.352914427523501217e-05,1.452169939852865355e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.961915254592895508e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726654052734375e+01,-3.898726654052734375e+01,6.830188794992864132e-06,9.037767791748046875e+01,1.368147932225838304e-04,7.565255089048150694e-08,-6.731960183969931677e-06,2.607233123853802681e-03,8.092971484074951150e-07,3.008796375070232898e-05,1.537361294031143188e-01,3.611426101997494698e-03,3.276182906120084226e-05,2.522028808016330004e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.961915254592895508e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726654052734375e+01,-3.898726654052734375e+01,6.830188794992864132e-06,9.037767791748046875e+01,1.368147932225838304e-04,7.565255089048150694e-08,-6.731960183969931677e-06,2.607233123853802681e-03,8.092971484074951150e-07,3.008796375070232898e-05,1.537361294031143188e-01,3.611426101997494698e-03,3.276182906120084226e-05,2.522028808016330004e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.961915254592895508e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726654052734375e+01,-3.898726654052734375e+01,6.830188794992864132e-06,9.037767791748046875e+01,1.368147932225838304e-04,7.565255089048150694e-08,-6.731960183969931677e-06,2.607233123853802681e-03,8.092971484074951150e-07,3.008796375070232898e-05,1.537361294031143188e-01,3.611426101997494698e-03,3.276182906120084226e-05,2.522028808016330004e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.993511438369750977e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726272583007812e+01,-3.898726272583007812e+01,6.830188794992864132e-06,9.037767791748046875e+01,1.368147932225838304e-04,5.308804418291401817e-08,-6.152035439299652353e-06,-1.231873058713972569e-03,-7.141529181353689637e-07,1.835426519392058253e-05,-1.215053796768188477e-01,3.301586490124464035e-03,3.075091444770805538e-05,1.919730685528975300e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
7.993511438369750977e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726272583007812e+01,-3.898726272583007812e+01,6.830188794992864132e-06,9.037767791748046875e+01,1.368147932225838304e-04,5.308804418291401817e-08,-6.152035439299652353e-06,-1.231873058713972569e-03,-7.141529181353689637e-07,1.835426519392058253e-05,-1.215053796768188477e-01,3.301586490124464035e-03,3.075091444770805538e-05,1.919730685528975300e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.024331092834472656e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726272583007812e+01,-3.898726272583007812e+01,1.980754750547930598e-04,9.037767791748046875e+01,1.364922645734623075e-04,5.864906427177629666e-08,-5.472329576150514185e-06,-2.446970669552683830e-03,1.804374534231101279e-07,2.205429882451426238e-05,-3.942606225609779358e-02,2.937989309430122375e-03,2.985139690281357616e-05,2.319384684312808531e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
8.024331092834472656e+00,9.700000000000000000e+01,0.000000000000000000e+00,-1.227194786071777344e+01,-3.898726272583007812e+01,-3.898726272583007812e+01,1.980754750547930598e-04,9.037767791748046875e+01,1.364922645734623075e-04,5.864906427177629666e-08,-5.472329576150514185e-06,-2.446970669552683830e-03,1.804374534231101279e-07,2.205429882451426238e-05,-3.942606225609779358e-02,2.937989309430122375e-03,2.985139690281357616e-05,2.319384684312808531e-08,0.000000000000000000e+00,8.068084571277722716e-05,1.000000000000000000e+00
